Id,Item,Price,Veg/Non-Veg,QuaVegetable Spring Rolls
1,Vegetable Spring Rolls,180,Veg,50
2,Chicken Satay,220,Non-Veg,55
3,Pad Thai Noodles,250,Veg,65
4,Chicken Fried Rice,280,Non-Veg,35
5,Vegetable Manchurian,200,Veg,56
6,Sushi Platter (Assorted),500,Non-Veg,78
7,Tom Yum Soup,220,Non-Veg,43
8,Vegetable Dim Sum,180,Veg,65
9,Chicken Momos,200,Non-Veg,78
10,Kung Pao Chicken,300,Non-Veg,98
11,Vegetable Thai Green Curry,240,Veg,55
12,Chicken Teriyaki,320,Non-Veg,40
13,Paneer Tikka,250,Veg,50
14,Szechwan Fried Rice,260,Veg,67
15,Sweet and Sour Fish,350,Non-Veg,50
16,Prawn Tempura,380,Non-Veg,45
17,Vegetable Chow Mein,220,Veg,50
18,Peking Duck (Half),100,Non-Veg,43
19,Vegetable Spring Onion Pancake,200,Veg,63
20,Shrimp Pad Thai,320,Non-Veg,85
