Id,Item,Price,Veg/Non-Veg,s
1,Vanilla Ice Cream Scoop,50,Veg,47
2,Chocolate Ice Cream Scoop,50,Veg,48
3,Strawberry Ice Cream Scoop,50,Veg,66
4,Butterscotch Ice Cream Scoop,50,Veg,37
5,Mango Ice Cream Scoop,50,Veg,51
6,Pistachio Ice Cream Scoop,50,Veg,78
7,Caramel Ice Cream Scoop,50,Veg,43
8,Cookies and Cream Ice Cream Scoop,50,Veg,65
9,Mint Chocolate Chip Ice Cream Scoop,50,Veg,78
10,Fruit Salad Ice Cream Scoop,50,Veg,98
11,Rainbow Sherbet Ice Cream Scoop,50,Veg,55
12,Bubblegum Ice Cream Scoop,50,Veg,41

13,Peach Ice Cream Scoop,50,Veg,45
14,Coffee Ice Cream Scoop,50,Veg,67
15,Choco Fudge Brownie Sundae,150,Veg,87
16,Fruit Medley Ice Cream Sundae,120,Veg,45
17,Chocolate Lava Ice Cream Sundae,180,Veg,67
18,Nutty Caramel Crunch Ice Cream Sundae,160,Veg,43
19,Berry Blast Ice Cream Sundae,140,Veg,62
20,Ibaco Special Ice Cream Sundae,200,Veg,65
