Id,Item,Price,Type,Quantity
1,Idli (2 Pieces),40,Veg,50
2,Masala Dosa,90,Veg,60
3,Plain Dosa,70,Veg,70
4,Onion Uttapam,100,Veg,40
5,Medhu Vada (2 Pieces),60,Veg,56
6,Rava Upma,50,Veg,78
7,Pongal,80,Veg,43
8,Ghee Pongal,90,Veg,65
9,Rava Dosa,80,Veg,78
10,Poori (2 Pieces),70,Veg,98
11,Mini Tiffin,120,Veg,55
12,Ragi Dosa,100,Veg,43
13,Paneer Dosa,120,Veg,45
15,Set Dosa,80,Veg,67
15,Podi Idli (2 Pieces),50,Veg,87
16,Curd Rice,70,Veg,45
17,Bisibelabath,90,Veg,67
18,Veg Fried Rice,100,Veg,43
19,Ghee Roast Dosa,100,Veg,65
20,Veg Pulao,120,Veg,65
