Vegetable Pulao, Paneer Tikka, Butter Naan
Veg Manchurian, Dal Tadka, Aloo Gobi Masala
Palak Paneer, Veg Biryani, Butter Naan
Chicken Biryani, Tandoori Chicken
Butter Chicken, Garlic Naan
Chicken Tikka Masala, Veg Pizza
Fish Fry, Prawn Masala
Mutton Biryani, Lamb Rogan Josh
Goan Fish Curry, Butter Naan
Paneer Butter Masala, Veg Pizza
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Rava Dosa, Poori (2 Pieces), Veg Fried Rice
Mini Tiffin, Paneer Dosa, Set Dosa
Ragi Dosa, Podi Idli (2 Pieces), Bisibelabath
Ghee Roast Dosa, Veg Pulao
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut
Cinnamon Apple Doughnut, Strawberry Shortcake Doughnut, Blueberry Cake Doughnut
Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Latte, Hot Chocolate, Chicken Sandwich, Caesar Salad
Mocha, Veggie Sandwich, Tuna Sandwich, Greek Salad
Tea, Iced Coffee, Grilled Paneer Sandwich, Pasta Salad
Americano, Macchiato, Fruit Salad, Chicken Caesar Salad
Flat White, Espresso, Fruit Smoothie, Grilled Cheese Sandwich
Cappuccino, Latte, Chicken Sandwich, Veggie Sandwich
Hot Chocolate, Tuna Sandwich, Greek Salad, Mocha
Tea, Espresso, Grilled Paneer Sandwich, Pasta Salad
Iced Coffee, Fruit Salad, Americano, Chicken Caesar Salad
Macchiato, Flat White, Caesar Salad, Fruit Smoothie
Grilled Cheese Sandwich, Cappuccino, Chicken Sandwich, Greek Salad
Veggie Sandwich, Hot Chocolate, Tuna Sandwich, Fruit Salad
Mocha, Espresso, Latte, Chicken Caesar Salad
Flat White, Americano, Grilled Paneer Sandwich, Pasta Salad
Tea, Iced Coffee, Fruit Smoothie, Caesar Salad
Cappuccino, Mocha, Grilled Cheese Sandwich, Chicken Sandwich
Latte, Macchiato, Greek Salad, Veggie Sandwich
Hot Chocolate, Fruit Salad, Tuna Sandwich, Chicken Caesar Salad
Espresso, Iced Coffee, Grilled Paneer Sandwich, Flat White
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Latte, Hot Chocolate, Chicken Sandwich, Caesar Salad
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Mocha, Veggie Sandwich, Tuna Sandwich, Greek Salad
Tea, Iced Coffee, Grilled Paneer Sandwich, Pasta Salad
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Americano, Macchiato, Fruit Salad, Chicken Caesar Salad
Flat White, Espresso, Fruit Smoothie, Grilled Cheese Sandwich
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Cappuccino, Latte, Chicken Sandwich, Veggie Sandwich
Hot Chocolate, Tuna Sandwich, Greek Salad, Mocha
Tea, Espresso, Grilled Paneer Sandwich, Pasta Salad
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Iced Coffee, Fruit Salad, Americano, Chicken Caesar Salad
Macchiato, Flat White, Caesar Salad, Fruit Smoothie
Grilled Cheese Sandwich, Cappuccino, Chicken Sandwich, Greek Salad
Veggie Sandwich, Hot Chocolate, Tuna Sandwich, Fruit Salad
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Mocha, Espresso, Latte, Chicken Caesar Salad
Flat White, Americano, Grilled Paneer Sandwich, Pasta Salad
Tea, Iced Coffee, Fruit Smoothie, Caesar Salad
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Cappuccino, Mocha, Grilled Cheese Sandwich, Chicken Sandwich
Latte, Macchiato, Greek Salad, Veggie Sandwich
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Hot Chocolate, Fruit Salad, Tuna Sandwich, Chicken Caesar Salad
Espresso, Iced Coffee, Grilled Paneer Sandwich, Flat White
Espresso, Cappuccino, Grilled Cheese Sandwich, Fruit Smoothie
Vegetable Spring Rolls, Chicken Satay, Pad Thai Noodles, Chicken Fried Rice
Vegetable Manchurian, Sushi Platter (Assorted), Tom Yum Soup, Vegetable Dim Sum
Chicken Momos, Kung Pao Chicken, Vegetable Thai Green Curry, Chicken Teriyaki
Paneer Tikka, Szechwan Fried Rice, Sweet and Sour Fish, Prawn Tempura
Vegetable Chow Mein, Peking Duck (Half), Vegetable Spring Onion Pancake, Shrimp Pad Thai
Vegetable Spring Rolls, Chicken Satay, Pad Thai Noodles, Chicken Fried Rice
Vegetable Manchurian, Sushi Platter (Assorted), Tom Yum Soup, Vegetable Dim Sum
Chicken Momos, Kung Pao Chicken, Vegetable Thai Green Curry, Chicken Teriyaki
Paneer Tikka, Szechwan Fried Rice, Sweet and Sour Fish, Prawn Tempura
Vegetable Chow Mein, Peking Duck (Half), Vegetable Spring Onion Pancake, Shrimp Pad Thai
Vegetable Spring Rolls, Chicken Satay, Pad Thai Noodles, Chicken Fried Rice
Vegetable Manchurian, Sushi Platter (Assorted), Tom Yum Soup, Vegetable Dim Sum
Chicken Momos, Kung Pao Chicken, Vegetable Thai Green Curry, Chicken Teriyaki
Paneer Tikka, Szechwan Fried Rice, Sweet and Sour Fish, Prawn Tempura
Vegetable Chow Mein, Peking Duck (Half), Vegetable Spring Onion Pancake, Shrimp Pad Thai
Vegetable Spring Rolls, Chicken Satay, Pad Thai Noodles, Chicken Fried Rice
Vegetable Manchurian, Sushi Platter (Assorted), Tom Yum Soup, Vegetable Dim Sum
Chicken Momos, Kung Pao Chicken, Vegetable Thai Green Curry, Chicken Teriyaki
Paneer Tikka, Szechwan Fried Rice, Sweet and Sour Fish, Prawn Tempura
Vegetable Chow Mein, Peking Duck (Half), Vegetable Spring Onion Pancake, Shrimp Pad Thai
Vegetable Spring Rolls, Chicken Satay, Pad Thai Noodles, Chicken Fried Rice
Vegetable Manchurian, Sushi Platter (Assorted), Tom Yum Soup, Vegetable Dim Sum
Chicken Momos, Kung Pao Chicken, Vegetable Thai Green Curry, Chicken Teriyaki
Paneer Tikka, Szechwan Fried Rice, Sweet and Sour Fish, Prawn Tempura
Vegetable Chow Mein, Peking Duck (Half), Vegetable Spring Onion Pancake, Shrimp Pad Thai
Vegetable Spring Rolls, Chicken Satay, Pad Thai Noodles, Chicken Fried Rice
Chicken Satay, Pad Thai Noodles, Chicken Fried Rice, Vegetable Manchurian
Pad Thai Noodles, Chicken Fried Rice, Vegetable Manchurian, Sushi Platter (Assorted)
Chicken Fried Rice, Vegetable Manchurian, Sushi Platter (Assorted), Tom Yum Soup
Vegetable Manchurian, Sushi Platter (Assorted), Tom Yum Soup, Vegetable Dim Sum
Sushi Platter (Assorted), Tom Yum Soup, Vegetable Dim Sum, Chicken Momos
Tom Yum Soup, Vegetable Dim Sum, Chicken Momos, Kung Pao Chicken
Vegetable Dim Sum, Chicken Momos, Kung Pao Chicken, Vegetable Thai Green Curry
Chicken Momos, Kung Pao Chicken, Vegetable Thai Green Curry, Chicken Teriyaki
Kung Pao Chicken, Vegetable Thai Green Curry, Chicken Teriyaki, Paneer Tikka
Vegetable Thai Green Curry, Chicken Teriyaki, Paneer Tikka, Szechwan Fried Rice
Chicken Teriyaki, Paneer Tikka, Szechwan Fried Rice, Sweet and Sour Fish
Paneer Tikka, Szechwan Fried Rice, Sweet and Sour Fish, Prawn Tempura
