.Nescafe,0,12,21,5.00,40,500001
Asia7,1,11,22,3.80,25,4912
Ibaco,2,9,18,4.20,10,48932
Popeyfloes,3,13,23,4.00,0,923941
Kaithai,4,15,25,4.10,33,3944
Udupi hotel,5,17,20,3.93,15,3
Krispy Kreme,6,8,22,4.40,10,350
Pakwan,7,11,18,3.73,50,46
Burger King,8,14,24,4.30,0,344
Thalappakatti,9,16,19,4.60,10,235
Pizza Hut,10,32,41,4.20,15,23
Ovenstory,11,31,42,3.90,20,44
Taco Bell,12,29,38,4.10,25,56
McDonald's,13,33,43,4.40,45,6
Domino's,14,35,45,4.30,15,24
Bazaar,15,37,40,3.80,25,353
Bilal,16,28,42,4.00,60,345643
A2B,17,31,38,4.50,15,2345
Barbeque Nation,18,34,44,4.60,40,24
KFC,19,36,39,3.70,15,345
Murugan Idli Shop,20,52,61,4.50,0,34
Farzi Cafe,21,51,62,4.20,10,196928298
Flower Drum,22,49,58,4.10,25,33455
J Hind,23,53,63,4.30,15,3453
Pind,24,55,65,4.40,20,3453
Steam & Whistles,25,57,60,3.90,25,34567778
Subway,26,48,62,4.00,45,455555
